Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-KP 271,KNM-KP 271,#,1965,1967,1981,16,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.12,4.07-4.12,P,L dist. Humerus,A. anamensis,A. anamensis,CTA,B. Paterson,"Patterson and Howells, 1967","Senut, 1981","Leakey et al., 1995","Leakey et al., 1995; Leakey et al., 1998",west
KNM-KP 29281a,KNM-KP 29281,A,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,M,Mandible with R and Li1-m3,A. anamensis H,A. anamensis,CTA,P. Nzube,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29281b,KNM-KP 29281,B,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,C,L temporal,A. anamensis H,A. anamensis,CTA,P. Nzube,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29282,KNM-KP 29282,#,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lm1or2,A. anamensis,A. anamensis,CTA,P. Nzube,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29283a,KNM-KP 29283,A,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,C,"Maxillary with RI1, RC-RM2 and LC-LM3 + Li2",A. anamensis,A. anamensis,CTA,W. Mangao,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29283b,KNM-KP 29283,B,1997,1998,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LI2,A. anamensis,A. anamensis,CTA,M. Leakey,"Leakey et al., 1998","Ward et al., 2001","Leakey et al., 1998","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29284a,KNM-KP 29284,A,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rc germ,A. anamensis,A. anamensis,CTA,Team,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29284b,KNM-KP 29284,B,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rp3 germ,A. anamensis,A. anamensis,CTA,Team,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29285a,KNM-KP 29285,A,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,P,R prox. Tibia,A. anamensis,A. anamensis,CTA,K. Kimeu,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29285b,KNM-KP 29285,B,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,P,L dist. Tibia,A. anamensis,A. anamensis,CTA,P. Nzube,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 29286a,KNM-KP 29286,A,1994,1995,2001,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,M,R mandibular body frag. with Ri2-Rp3,A. anamensis,A. anamensis,CTA,P. Nzube,"Leakey et al., 1995","Ward et al., 2001","Leakey et al., 1995","Feibel, 2003; McDougall and Brown, 2008",west
