Catalog number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-ER 999a,KNM-ER 999,a,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Prox. Part L Femur,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 999b,KNM-ER 999,b,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Frag diaphysis L Femur connecting to a,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 999c,KNM-ER 999,c,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Frag diaphysis L Femur connecting to b,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 999d,KNM-ER 999,d,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Frag. Medial condyle L Femur,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 999e,KNM-ER 999,e,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Isolated frag. L Femur,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 999f,KNM-ER 999,f,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Isolated frag. L Femur,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 999g,KNM-ER 999,g,1971,1974,1974,3,Kenya,Ileret,6A,,Koobi Fora,Galana Boi,,"~0,27","~0,27",P,Isolated frag. L Femur,Homo indet.,H. sapiens ?,,K. Kimeu,Day & Leakey 1974,Day & Leakey 1974,Trinkaus 1993,,east
KNM-ER 2884,KNM-ER 2884,##,1976,,,,Kenya,Ileret,5,,Koobi Fora,Galana Boi,,"~0,3","~0,3",C,Cranium,Homo indet.,H. sapiens ?,,,,,Brauer 1984,,east
KNM-ER 42709,KNM-ER 42709,##,2002,2024,2024,22,Kenya,Ileret,6A,,Koobi Fora,Okote,,"1,38-1,42","1,38-1,42",M,L edentulous mandibular corpus,P. boisei,P. boisei,CTA,J. Erus Edung,Nadal et al. 2024,Nadal et al. 2024,Nadal et al. 2024,Nadal et al. 2024,east
KNM-ER 42801,KNM-ER 42801,##,2002,2024,2024,22,Kenya,Ileret,8B,,Koobi Fora,KBS,,"1,54-1,56","1,54-1,56",M,Frag. of mandibular corpus with m3,P. boisei,P. boisei,CTA,S. Dominic,Nadal et al. 2024,Nadal et al. 2024,Nadal et al. 2024,Nadal et al. 2024,east
KNM-ER 63000,KNM-ER 63000,##,2011,2024,2024,13,Kenya,Ileret,40,,Koobi Fora,Lonyumun,,"~4,3","~4,3",M,Mandible with Rm2,A. anamensis,A. anamensis,,L. Sale,Lewis et al. 2024,Lewis et al. 2024,Lewis et al. 2024,Lewis et al. 2024,east
KNM-KP 77321,KNM-KP 77321,##,2021,2024,2024,3,Kenya,Kanapoi,,,Kanapoi,Lonyumun,,"4,108-4,195","4,108-4,195",D,Lc,A. anamensis,A. anamensis,CTA,R. Moru,Ward et al. 2024,Ward et al. 2024,Ward et al. 2024,Ward et al. 2024,west
